iter	Accuracy	MultiClass
605	0.77275	0.5249909553
606	0.7728125	0.5248684655
607	0.7729375	0.5246941271
608	0.773125	0.5246428053
609	0.7729375	0.524533516
610	0.773	0.5242179147
611	0.7736875	0.523871398
612	0.7741875	0.5236518883
613	0.7741875	0.5234983954
614	0.774125	0.5234071143
615	0.7743125	0.5231157098
616	0.7740625	0.5227789191
617	0.7740625	0.5225579826
618	0.774375	0.5222927943
619	0.77475	0.5219937741
620	0.7753125	0.5217717013
621	0.7755	0.5215985114
622	0.7756875	0.5214013211
623	0.7756875	0.5212631398
624	0.7759375	0.5211528698
625	0.7756875	0.5207855015
626	0.776125	0.5205375933
627	0.7763125	0.5202584015
628	0.7766875	0.5200655307
629	0.777	0.5198541121
630	0.776875	0.519697426
631	0.7768125	0.5194766759
632	0.7773125	0.5192419816
633	0.7773125	0.518953494
634	0.7773125	0.5187410043
635	0.77725	0.5185897906
636	0.7774375	0.5184910192
637	0.7776875	0.5182896126
638	0.777375	0.5179976412
639	0.777875	0.5177599476
640	0.7779375	0.5176108711
641	0.778	0.5175766867
642	0.7780625	0.517400007
643	0.7780625	0.5172392824
644	0.7784375	0.5169308089
645	0.7784375	0.5165827437
646	0.7785	0.5163544678
647	0.77875	0.5161231517
648	0.77875	0.5159547277
649	0.7788125	0.5156868689
650	0.778875	0.5155536696
651	0.7791875	0.5154162056
652	0.77925	0.5150947734
653	0.779375	0.5149245465
654	0.779625	0.5146323507
655	0.77975	0.5144755051
656	0.77975	0.5141865078
657	0.7799375	0.5139580955
658	0.780125	0.513763796
659	0.7800625	0.5134115977
660	0.78	0.5133372195
661	0.78025	0.5132183865
662	0.7804375	0.5130492482
663	0.7804375	0.512771306
664	0.7803125	0.5124436463
665	0.7810625	0.5122388228
666	0.78125	0.5119370996
667	0.7814375	0.5118475462
668	0.7815	0.5116021748
669	0.78175	0.5113263819
670	0.7823125	0.5110988504
671	0.7823125	0.5110788926
672	0.7824375	0.5108925845
673	0.7825625	0.5106705691
674	0.782625	0.5104395354
675	0.7829375	0.5101215808
676	0.7834375	0.509779068
677	0.7830625	0.5095268283
678	0.7834375	0.5093580578
679	0.783625	0.5091817258
680	0.7838125	0.509072823
681	0.7839375	0.5089997597
682	0.7839375	0.5087445905
683	0.7835625	0.5086389332
684	0.7838125	0.5084041794
685	0.78375	0.5081588021
686	0.784	0.5080328372
687	0.7839375	0.5078238774
688	0.784375	0.5075309139
689	0.7845625	0.5073558433
690	0.7843125	0.5072201449
691	0.784625	0.5071044427
692	0.7849375	0.506842847
693	0.785125	0.5066669374
694	0.7856875	0.5062913685
695	0.785625	0.50604256
696	0.7856875	0.5058094353
697	0.7860625	0.5055940569
698	0.78625	0.5053548503
699	0.7863125	0.505031215
